Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
5930,KR7005930003,삼성전자,KOSPI,,56100,1,300,0.54,56000,57300,56000,21226914,1200160000000.0,334905000000000.0,5969782550,STK
660,KR7000660001,SK하이닉스,KOSPI,,209500,1,1000,0.48,209000,212000,206500,2122413,443600000000.0,152516000000000.0,728002365,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1181000,1,2000,0.17,1187000,1209000,1174000,84997,101627000000.0,84056500000000.0,71174000,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,354500,2,-3500,-0.98,355500,359500,352000,132920,47251726500.0,82953000000000.0,234000000,STK
5380,KR7005380001,현대차,KOSPI,,206000,2,-2500,-1.2,208000,210000,206000,679063,141173000000.0,43139700000000.0,209416191,STK
68270,KR7068270008,셀트리온,KOSPI,,179700,1,1800,1.01,178200,182700,177800,523832,94150396200.0,38475200000000.0,214108119,STK
5935,KR7005931001,삼성전자우,KOSPI,,46200,1,350,0.76,46300,46850,46100,648421,30100848350.0,38017400000000.0,822886700,STK
270,KR7000270009,기아,KOSPI,,94900,1,600,0.64,94400,95900,93700,1123189,106469000000.0,37739100000000.0,397672632,STK
35420,KR7035420009,NAVER,KOSPI,,220000,3,0,0.0,222000,224500,220000,462280,102461000000.0,34856100000000.0,158437008,STK
105560,KR7105560007,KB금융,KOSPI,,79700,1,300,0.38,79100,80200,78700,2094642,166674000000.0,31364200000000.0,393528423,STK
329180,KR7329180004,HD현대중공업,KOSPI,,335500,2,-30500,-8.33,359500,360500,329000,750346,254894000000.0,29783400000000.0,88773116,STK
55550,KR7055550008,신한지주,KOSPI,,48300,2,-150,-0.31,47500,48550,47500,1285424,61842639500.0,24316400000000.0,503445325,STK
12450,KR7012450003,한화에어로스페이스,KOSPI,,530000,1,14000,2.71,516000,539000,503000,559979,292438000000.0,24158000000000.0,45581161,STK
42660,KR7042660001,한화오션,KOSPI,,77700,1,200,0.26,76300,79500,73900,9177849,702918000000.0,23808300000000.0,306413394,STK
12330,KR7012330007,현대모비스,KOSPI,,249000,1,6000,2.47,247000,252500,247000,135156,33765134000.0,23155800000000.0,92995094,STK
28260,KR7028260008,삼성물산,KOSPI,,128200,1,6600,5.43,121800,129000,121800,586189,74319226400.0,22791900000000.0,177784107,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,117300,1,3200,2.8,114900,118400,114200,279697,32787514700.0,22371500000000.0,190720114,STK
5490,KR7005490008,POSCO홀딩스,KOSPI,,247000,1,500,0.2,246500,249500,242500,224514,55380982500.0,20408200000000.0,82624377,STK
32830,KR7032830002,삼성생명,KOSPI,,96400,1,6400,7.11,91900,97700,91500,596700,57327977800.0,19280000000000.0,200000000,STK
810,KR7000810002,삼성화재,KOSPI,,391500,1,33000,9.21,363000,393500,362000,213472,80805608500.0,18547200000000.0,47374837,STK
96770,KR7096770003,SK이노베이션,KOSPI,,122200,2,-2100,-1.69,123700,124000,122100,115570,14208941300.0,18456400000000.0,151034776,STK
34020,KR7034020008,두산에너빌리티,KOSPI,,27950,1,3400,13.85,24550,28250,24450,48191470,1307610000000.0,17903700000000.0,640561146,STK
86790,KR7086790003,하나금융지주,KOSPI,,60900,1,300,0.5,60500,61100,60200,442055,26836826100.0,17493000000000.0,287240880,STK
35720,KR7035720002,카카오,KOSPI,,38650,2,-1550,-3.86,40550,40600,38500,5104557,200631000000.0,17148000000000.0,443675123,STK
10130,KR7010130003,고려아연,KOSPI,,802000,1,24000,3.08,780000,803000,765000,17892,13965512000.0,16604000000000.0,20703283,STK
51910,KR7051910008,LG화학,KOSPI,,228500,2,-1000,-0.44,231000,232000,227000,147925,34023782500.0,16130400000000.0,70592343,STK
11200,KR7011200003,HMM,KOSPI,,18250,1,140,0.77,18310,18340,17950,1196479,21730030370.0,16079000000000.0,881039496,STK
9540,KR7009540006,HD한국조선해양,KOSPI,,226000,2,-10500,-4.44,235000,235500,222500,325670,73544876500.0,15994700000000.0,70773116,STK
259960,KR7259960003,크래프톤,KOSPI,,311500,2,-5500,-1.74,320000,324000,311500,212601,67350946000.0,14923200000000.0,47907674,STK
6400,KR7006400006,삼성SDI,KOSPI,,214500,1,500,0.23,214000,217000,211500,259512,55682040000.0,14750000000000.0,68764530,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,387500,2,-19500,-4.79,400500,400500,385500,233339,91052463000.0,13968300000000.0,36047135,STK
15760,KR7015760002,한국전력,KOSPI,,21050,1,350,1.69,20700,21150,20650,1202808,25172040500.0,13513300000000.0,641964077,STK
